,2,time
0,1,0
1,0.903276656,0.571906355
2,0.830018704,1.143812709
3,0.768244009,1.715719064
4,0.71514871,2.287625418
5,0.669213856,2.859531773
6,0.626353819,3.431438127
7,0.592475787,4.003344482
8,0.564581961,4.575250836
9,0.539567563,5.147157191
10,0.516596616,5.719063545
11,0.495417906,6.2909699
12,0.475844574,6.862876254
13,0.457766551,7.434782609
14,0.441003736,8.006688963
15,0.425439537,8.578595318
16,0.410956753,9.150501672
17,0.397428521,9.722408027
18,0.384788452,10.29431438
19,0.372926777,10.86622074
20,0.361780913,11.43812709
21,0.351288605,12.01003344
22,0.341382277,12.5819398
23,0.332029688,13.15384615
24,0.323170471,13.72575251
25,0.31477241,14.29765886
26,0.306801577,14.86956522
27,0.299219548,15.44147157
28,0.292010131,16.01337793
29,0.285137222,16.58528428
30,0.278582514,17.15719064
31,0.272325822,17.72909699
32,0.266343413,18.30100334
33,0.260626427,18.8729097
34,0.255151233,19.44481605
35,0.249906933,20.01672241
36,0.244880312,20.58862876
37,0.240055902,21.16053512
38,0.235428299,21.73244147
39,0.230981109,22.30434783
40,0.226707513,22.87625418
41,0.222598143,23.44816054
42,0.21864236,24.02006689
43,0.21483691,24.59197324
44,0.211169815,25.1638796
45,0.207636423,25.73578595
46,0.204230247,26.30769231
47,0.200943338,26.87959866
48,0.1977737,27.45150502
49,0.194712389,28.02341137
50,0.191756093,28.59531773
51,0.188900154,29.16722408
52,0.18613855,29.73913043
53,0.18347001,30.31103679
54,0.1808877,30.88294314
55,0.178389322,31.4548495
56,0.175971229,32.02675585
57,0.173628952,32.59866221
58,0.171361631,33.17056856
59,0.169163893,33.74247492
60,0.167034131,34.31438127
61,0.16496951,34.88628763
62,0.162966559,35.45819398
63,0.16102466,36.03010033
64,0.159139649,36.60200669
65,0.157310303,37.17391304
66,0.155534399,37.7458194
67,0.15380927,38.31772575
68,0.15213449,38.88963211
69,0.150506699,39.46153846
70,0.148925013,40.03344482
71,0.147387539,40.60535117
72,0.145892156,41.17725753
73,0.144438614,41.74916388
74,0.143024147,42.32107023
75,0.141648201,42.89297659
76,0.140309256,43.46488294
77,0.139005666,44.0367893
78,0.13773719,44.60869565
79,0.136501646,45.18060201
80,0.13529855,45.75250836
81,0.134126695,46.32441472
82,0.132984755,46.89632107
83,0.131872533,47.46822742
84,0.130788226,48.04013378
85,0.129731503,48.61204013
86,0.128701349,49.18394649
87,0.12769659,49.75585284
88,0.126717218,50.3277592
89,0.125761678,50.89966555
90,0.124829679,51.47157191
91,0.123920415,52.04347826
92,0.123032904,52.61538462
93,0.122167093,53.18729097
94,0.121321709,53.75919732
95,0.120496543,54.33110368
96,0.119690896,54.90301003
97,0.118904013,55.47491639
98,0.118135846,56.04682274
99,0.117385305,56.6187291
100,0.116652265,57.19063545
101,0.115936116,57.76254181
102,0.1152362,58.33444816
103,0.114552524,58.90635452
104,0.113884133,59.47826087
105,0.113230966,60.05016722
106,0.112592465,60.62207358
107,0.111968112,61.19397993
108,0.111357897,61.76588629
109,0.110761014,62.33779264
110,0.110177418,62.909699
